age,job,marital,education,default,housing,contact,month,duration
33,self-employed,divorced,unknown,no,no,telephone,may,1161
29,management,married,university.degree,no,no,cellular,aug,181
45,management,married,university.degree,no,yes,cellular,may,239
38,admin.,divorced,university.degree,no,no,cellular,apr,360
24,services,single,professional.course,no,yes,telephone,may,314
41,technician,married,professional.course,no,yes,cellular,aug,984
58,retired,divorced,high.school,no,yes,cellular,jun,663
34,admin.,married,university.degree,no,no,telephone,may,157
34,admin.,married,university.degree,no,no,cellular,nov,141
37,technician,divorced,professional.course,no,no,telephone,may,374
53,blue-collar,divorced,basic.4y,no,no,telephone,jun,706
54,technician,divorced,professional.course,no,yes,cellular,jul,797
32,technician,divorced,professional.course,no,yes,cellular,nov,250
42,admin.,married,high.school,no,yes,cellular,jul,311
28,technician,single,professional.course,no,yes,cellular,aug,63
33,services,single,high.school,no,yes,telephone,may,111
41,blue-collar,married,basic.9y,no,yes,cellular,apr,148
31,services,married,high.school,no,no,cellular,nov,49
40,technician,married,basic.9y,unknown,no,telephone,may,171
53,unknown,married,basic.9y,no,no,cellular,nov,242
40,admin.,divorced,university.degree,no,yes,cellular,aug,257
82,housemaid,married,basic.4y,no,no,telephone,sep,279
28,blue-collar,married,basic.4y,no,yes,cellular,jul,113
30,admin.,married,high.school,unknown,yes,cellular,nov,246
31,unemployed,single,university.degree,no,yes,cellular,jul,309
32,technician,single,university.degree,no,yes,cellular,aug,168
54,blue-collar,married,basic.4y,no,yes,cellular,aug,153
31,blue-collar,married,basic.9y,no,no,cellular,jul,152
50,services,married,unknown,no,yes,cellular,aug,90
47,technician,single,unknown,no,no,cellular,jul,117
31,admin.,single,high.school,no,yes,cellular,may,149
32,unemployed,married,high.school,no,yes,cellular,nov,640
46,admin.,single,high.school,no,yes,cellular,nov,199
47,admin.,single,high.school,no,no,cellular,may,1114
32,admin.,single,high.school,no,no,cellular,nov,74
52,services,divorced,high.school,unknown,no,cellular,nov,190
45,admin.,married,high.school,no,yes,cellular,oct,738
32,admin.,married,university.degree,no,yes,cellular,may,374
71,blue-collar,divorced,basic.4y,unknown,no,cellular,aug,224
49,services,married,high.school,no,yes,telephone,may,344
46,admin.,married,high.school,no,yes,telephone,jun,148
46,blue-collar,married,professional.course,no,no,cellular,nov,383
38,admin.,married,university.degree,no,yes,cellular,aug,35
57,services,married,professional.course,unknown,no,cellular,aug,153
41,services,single,high.school,unknown,unknown,cellular,may,772
44,technician,married,professional.course,no,no,telephone,may,124
47,technician,married,university.degree,no,yes,cellular,aug,345
40,blue-collar,married,basic.9y,no,yes,telephone,may,951
57,retired,single,professional.course,no,yes,telephone,may,188
27,admin.,single,unknown,no,no,cellular,mar,128
52,blue-collar,married,basic.9y,no,no,cellular,aug,809
34,management,married,university.degree,no,yes,telephone,jun,192
42,entrepreneur,married,university.degree,no,yes,telephone,may,154
51,technician,married,unknown,no,yes,telephone,jun,17
45,management,married,basic.4y,unknown,yes,telephone,may,100
56,retired,married,high.school,no,no,cellular,may,317
41,management,married,university.degree,no,yes,cellular,may,93
44,admin.,married,high.school,no,yes,cellular,aug,111
50,blue-collar,married,basic.6y,no,yes,cellular,may,293
54,self-employed,married,high.school,no,no,cellular,aug,119
51,blue-collar,married,basic.6y,no,no,cellular,aug,393
30,blue-collar,single,basic.9y,no,no,cellular,nov,30
42,housemaid,married,basic.4y,unknown,yes,telephone,jun,38
41,technician,married,professional.course,unknown,yes,telephone,jun,442
47,services,single,basic.9y,no,no,cellular,nov,187
35,blue-collar,married,basic.6y,no,yes,cellular,apr,113
58,blue-collar,married,basic.9y,no,no,cellular,nov,64
50,blue-collar,divorced,high.school,no,yes,cellular,jul,629
41,technician,married,professional.course,no,no,telephone,may,92
38,technician,married,university.degree,no,yes,cellular,may,147
32,student,single,university.degree,no,no,cellular,nov,151
21,student,single,high.school,no,no,cellular,aug,259
46,admin.,divorced,basic.9y,unknown,no,telephone,may,423
42,self-employed,married,university.degree,no,yes,cellular,nov,888
55,services,married,basic.9y,no,no,cellular,aug,76
29,admin.,single,high.school,no,yes,telephone,nov,207
30,blue-collar,single,basic.6y,unknown,yes,telephone,jun,100
53,management,married,basic.4y,no,yes,cellular,nov,63
35,management,married,university.degree,no,yes,cellular,nov,265
46,services,married,professional.course,no,yes,telephone,may,273
30,blue-collar,married,unknown,no,no,telephone,may,85
43,entrepreneur,married,university.degree,unknown,yes,cellular,jul,261
42,services,married,high.school,unknown,yes,cellular,jul,136
32,technician,married,professional.course,no,no,cellular,jul,711
41,blue-collar,divorced,basic.9y,no,yes,cellular,may,88
28,admin.,married,university.degree,no,no,cellular,may,72
24,services,single,university.degree,no,no,cellular,jul,113
43,management,married,university.degree,unknown,yes,cellular,apr,307
30,admin.,single,university.degree,no,yes,cellular,aug,39
55,blue-collar,married,basic.9y,unknown,no,cellular,nov,63
51,retired,married,basic.9y,unknown,no,cellular,jul,64
22,student,single,high.school,no,no,cellular,jul,154
32,entrepreneur,single,university.degree,no,no,cellular,nov,126
43,admin.,married,professional.course,unknown,no,cellular,jul,127
39,management,married,basic.6y,unknown,no,telephone,jun,156
52,blue-collar,divorced,unknown,no,no,cellular,jul,111
38,technician,single,professional.course,no,yes,cellular,may,202
59,retired,married,basic.4y,no,no,telephone,apr,353
31,blue-collar,married,basic.4y,no,yes,telephone,may,159
76,retired,single,basic.4y,no,no,cellular,nov,347
44,unknown,single,basic.9y,unknown,yes,telephone,jun,76
30,blue-collar,married,unknown,no,no,telephone,may,85
32,services,married,high.school,unknown,no,telephone,jun,174
41,unemployed,married,unknown,no,no,telephone,jun,280
33,admin.,single,university.degree,no,yes,cellular,aug,686
59,retired,married,basic.4y,no,yes,cellular,aug,94
28,blue-collar,married,basic.9y,no,yes,cellular,jul,225
33,blue-collar,single,basic.6y,no,yes,cellular,may,474
53,services,married,high.school,unknown,yes,cellular,aug,76
41,services,married,high.school,no,no,cellular,mar,377
55,unknown,married,basic.4y,no,no,cellular,jul,185
45,blue-collar,married,basic.9y,unknown,no,telephone,may,121
35,technician,married,professional.course,no,no,cellular,jul,126
31,services,married,high.school,unknown,no,cellular,jul,160
53,management,married,university.degree,no,no,cellular,aug,313
35,technician,single,professional.course,no,yes,cellular,may,141
45,blue-collar,divorced,basic.6y,unknown,yes,cellular,may,219
34,housemaid,single,university.degree,no,no,telephone,jun,267
42,admin.,married,basic.9y,no,no,telephone,apr,406
36,self-employed,married,basic.9y,no,yes,cellular,nov,151
44,admin.,married,high.school,no,no,telephone,may,228
50,admin.,divorced,university.degree,no,yes,cellular,aug,73
36,admin.,married,university.degree,no,yes,cellular,sep,355
27,technician,married,professional.course,no,no,cellular,jul,102
40,management,married,unknown,no,no,telephone,may,97
25,technician,single,university.degree,no,yes,telephone,jun,35
29,management,married,university.degree,no,yes,cellular,aug,116
44,admin.,married,high.school,no,no,telephone,may,83
57,blue-collar,married,unknown,unknown,yes,telephone,may,473
30,admin.,single,high.school,no,yes,cellular,jul,605
37,self-employed,married,university.degree,no,yes,cellular,aug,585
57,technician,married,basic.9y,no,no,cellular,jul,94
32,technician,married,professional.course,no,yes,cellular,jul,255
54,admin.,married,professional.course,no,no,cellular,nov,1868
58,blue-collar,married,basic.9y,no,yes,cellular,aug,846
29,admin.,single,university.degree,unknown,yes,cellular,aug,158
60,services,married,high.school,unknown,no,cellular,aug,73
27,unemployed,single,university.degree,no,no,telephone,jun,404
30,unemployed,married,high.school,no,yes,cellular,jul,383
42,blue-collar,married,basic.4y,no,no,telephone,may,51
48,housemaid,married,high.school,no,no,telephone,jun,87
35,admin.,single,university.degree,no,no,cellular,aug,167
46,blue-collar,married,basic.6y,unknown,yes,telephone,may,440
57,retired,unknown,basic.4y,no,no,telephone,may,673
30,services,married,high.school,no,no,telephone,jun,151
28,technician,single,high.school,no,yes,cellular,apr,48
34,services,married,high.school,unknown,yes,telephone,may,309
42,blue-collar,married,basic.4y,unknown,no,telephone,jun,236
30,admin.,single,university.degree,no,yes,cellular,nov,288
27,student,single,basic.9y,no,yes,cellular,aug,111
23,entrepreneur,married,university.degree,no,yes,cellular,aug,87
43,blue-collar,married,basic.4y,unknown,yes,telephone,may,193
59,management,married,basic.4y,unknown,yes,telephone,may,318
31,self-employed,single,university.degree,no,no,cellular,aug,209
43,self-employed,married,basic.9y,no,no,telephone,may,173
52,technician,married,high.school,no,yes,telephone,may,503
26,housemaid,single,high.school,unknown,yes,telephone,jul,127
24,blue-collar,married,basic.9y,no,yes,telephone,may,101
35,blue-collar,single,basic.6y,no,no,cellular,nov,370
59,technician,married,professional.course,no,no,cellular,jun,1207
28,blue-collar,married,basic.6y,unknown,no,telephone,may,262
37,blue-collar,single,basic.9y,no,no,telephone,may,211
46,admin.,married,professional.course,no,no,cellular,apr,609
26,technician,single,university.degree,no,yes,cellular,jul,806
40,management,married,university.degree,no,yes,cellular,aug,77
56,blue-collar,married,basic.4y,unknown,yes,cellular,jul,335
40,management,married,university.degree,no,yes,cellular,may,459
29,admin.,single,university.degree,no,yes,telephone,may,266
28,blue-collar,single,basic.9y,no,yes,cellular,may,225
48,technician,single,unknown,unknown,no,telephone,may,257
28,unemployed,single,university.degree,no,yes,cellular,may,434
33,technician,married,professional.course,no,no,telephone,may,191
56,entrepreneur,married,university.degree,no,yes,telephone,jun,82
57,retired,married,basic.9y,no,no,cellular,aug,388
24,admin.,single,high.school,unknown,yes,telephone,jul,15
39,self-employed,married,university.degree,no,no,telephone,may,17
40,blue-collar,married,unknown,no,yes,telephone,may,155
54,blue-collar,divorced,unknown,unknown,yes,telephone,jun,339
25,admin.,single,university.degree,no,no,telephone,jun,188
36,blue-collar,married,basic.9y,unknown,no,cellular,may,951
48,admin.,married,university.degree,no,yes,cellular,nov,288
32,admin.,single,university.degree,no,yes,cellular,aug,206
48,admin.,married,university.degree,no,yes,cellular,jul,154
30,technician,married,university.degree,unknown,yes,telephone,may,72
41,admin.,divorced,high.school,no,no,telephone,may,293
54,retired,divorced,basic.4y,unknown,yes,cellular,jul,141
29,admin.,single,university.degree,no,yes,cellular,mar,215
28,blue-collar,single,high.school,no,yes,telephone,jun,102
30,admin.,married,university.degree,no,no,telephone,may,178
54,admin.,married,university.degree,no,yes,telephone,may,461
33,entrepreneur,married,basic.9y,unknown,no,telephone,may,82
38,blue-collar,married,basic.9y,no,no,cellular,may,204
46,housemaid,divorced,basic.6y,no,yes,telephone,jun,143
38,admin.,divorced,university.degree,no,no,telephone,jun,50
38,services,married,high.school,no,no,cellular,jul,81
33,blue-collar,married,high.school,no,yes,telephone,may,233
25,admin.,married,university.degree,no,no,telephone,may,56
29,admin.,single,university.degree,unknown,yes,cellular,may,104
60,technician,married,professional.course,unknown,no,telephone,jul,55
57,services,married,high.school,no,yes,cellular,may,126
36,admin.,single,university.degree,no,no,cellular,aug,142
54,admin.,married,university.degree,no,no,cellular,jul,9
25,self-employed,single,university.degree,no,no,telephone,may,247
41,entrepreneur,married,university.degree,no,no,telephone,may,130
54,management,married,university.degree,no,yes,cellular,apr,336
39,blue-collar,divorced,basic.6y,unknown,no,cellular,may,101
55,entrepreneur,divorced,university.degree,unknown,no,cellular,may,56
40,admin.,married,high.school,no,no,telephone,may,160
43,unemployed,married,university.degree,unknown,yes,telephone,may,424
81,retired,married,basic.4y,no,no,cellular,may,617
43,technician,divorced,professional.course,no,yes,cellular,may,143
34,admin.,married,high.school,no,yes,cellular,jun,238
42,technician,married,high.school,no,yes,cellular,aug,188
30,services,married,basic.6y,no,no,cellular,nov,154
24,services,single,basic.9y,unknown,no,telephone,jun,222
51,unknown,married,unknown,unknown,yes,cellular,aug,10
42,blue-collar,married,basic.9y,no,no,cellular,may,632
51,self-employed,married,basic.4y,unknown,no,telephone,may,91
38,blue-collar,married,high.school,unknown,no,cellular,jul,90
45,blue-collar,married,basic.4y,unknown,yes,cellular,aug,187
51,admin.,divorced,university.degree,unknown,no,telephone,aug,86
44,admin.,married,university.degree,unknown,no,telephone,may,165
52,technician,married,basic.9y,no,yes,cellular,nov,102
49,admin.,married,university.degree,no,yes,telephone,may,212
49,technician,married,professional.course,no,yes,telephone,may,57
52,unknown,married,basic.6y,no,no,telephone,may,54
32,entrepreneur,married,university.degree,no,no,cellular,nov,73
27,services,married,high.school,no,no,cellular,jul,184
44,admin.,divorced,high.school,no,yes,cellular,may,173
33,admin.,single,university.degree,no,no,cellular,may,6
30,services,married,basic.9y,no,no,cellular,jul,70
32,admin.,single,university.degree,no,yes,cellular,jul,96
36,blue-collar,married,professional.course,unknown,yes,telephone,jun,102
49,unemployed,married,high.school,no,yes,cellular,jul,98
48,services,single,basic.4y,unknown,yes,cellular,may,106
48,technician,married,professional.course,no,yes,cellular,aug,336
42,blue-collar,married,basic.4y,no,no,telephone,may,456
28,admin.,married,high.school,no,yes,cellular,may,293
52,management,married,university.degree,unknown,yes,cellular,aug,118
23,management,single,university.degree,no,yes,cellular,jul,314
36,blue-collar,married,basic.6y,no,yes,telephone,may,167
43,admin.,divorced,university.degree,unknown,no,cellular,aug,111
31,services,divorced,high.school,unknown,yes,cellular,may,236
49,unemployed,married,basic.4y,no,yes,cellular,aug,155
36,blue-collar,married,basic.9y,no,yes,cellular,jul,80
47,management,divorced,basic.4y,no,no,telephone,may,241
31,technician,single,professional.course,no,unknown,cellular,aug,202
46,entrepreneur,married,professional.course,unknown,no,telephone,jun,88
54,blue-collar,married,basic.9y,unknown,yes,cellular,aug,439
35,admin.,married,university.degree,no,no,cellular,may,322
37,admin.,divorced,high.school,no,no,telephone,may,51
44,blue-collar,married,basic.9y,unknown,yes,telephone,jun,147
30,unemployed,married,high.school,no,no,cellular,may,417
33,admin.,single,high.school,no,yes,cellular,jul,498
57,services,divorced,unknown,no,no,cellular,may,405
39,admin.,single,unknown,no,no,telephone,may,219
43,unemployed,married,basic.4y,no,no,cellular,may,117
32,services,married,high.school,no,unknown,telephone,may,72
29,technician,single,university.degree,no,no,cellular,may,68
35,admin.,divorced,high.school,no,yes,telephone,may,82
47,admin.,married,high.school,no,no,cellular,may,99
37,management,married,university.degree,no,yes,cellular,nov,252
35,technician,single,university.degree,unknown,no,cellular,apr,712
37,self-employed,married,basic.9y,no,yes,cellular,jul,171
36,technician,married,high.school,unknown,yes,cellular,aug,112
50,admin.,married,basic.9y,no,no,cellular,aug,84
30,admin.,single,university.degree,no,no,cellular,aug,135
33,blue-collar,married,basic.9y,no,yes,cellular,jul,132
37,admin.,single,high.school,no,no,cellular,jul,223
45,self-employed,divorced,university.degree,no,no,cellular,may,133
30,admin.,single,university.degree,no,no,cellular,nov,258
51,management,divorced,university.degree,no,no,cellular,may,345
49,self-employed,single,basic.9y,no,no,telephone,may,58
31,technician,single,university.degree,no,yes,cellular,aug,958
40,admin.,single,university.degree,no,yes,cellular,jul,250
41,technician,married,professional.course,no,no,cellular,aug,898
58,retired,married,basic.4y,no,yes,cellular,apr,185
49,blue-collar,married,basic.4y,unknown,yes,telephone,may,282
39,technician,divorced,professional.course,no,yes,telephone,may,135
48,technician,married,basic.6y,no,no,telephone,may,175
50,entrepreneur,married,basic.4y,unknown,no,cellular,jul,235
54,blue-collar,married,unknown,no,yes,cellular,aug,99
38,blue-collar,married,unknown,unknown,no,telephone,may,181
51,blue-collar,married,basic.4y,no,no,cellular,aug,132
36,admin.,single,university.degree,unknown,no,telephone,may,117
35,blue-collar,married,basic.6y,no,yes,cellular,nov,372
44,admin.,married,high.school,no,no,cellular,aug,126
43,blue-collar,married,basic.4y,no,no,cellular,may,69
30,technician,single,university.degree,no,no,cellular,aug,183
41,technician,divorced,basic.4y,no,yes,telephone,may,270
27,management,single,university.degree,no,yes,telephone,may,134
45,blue-collar,married,high.school,no,yes,cellular,nov,449
26,admin.,single,high.school,no,yes,telephone,may,160
36,technician,married,professional.course,no,unknown,telephone,may,155
24,student,single,high.school,no,no,cellular,jul,115
46,management,married,university.degree,no,yes,cellular,nov,205
61,blue-collar,married,basic.6y,no,yes,cellular,may,403
50,admin.,divorced,basic.9y,no,no,telephone,may,145
49,technician,married,professional.course,unknown,yes,telephone,may,82
55,admin.,married,basic.4y,no,yes,cellular,apr,548
54,blue-collar,married,basic.4y,no,yes,cellular,aug,109
40,blue-collar,divorced,basic.9y,no,yes,cellular,jul,207
58,blue-collar,married,basic.4y,unknown,yes,cellular,may,173
58,entrepreneur,married,university.degree,no,no,telephone,jul,175
36,admin.,single,university.degree,no,yes,cellular,aug,379
30,admin.,single,university.degree,no,yes,cellular,aug,105
45,admin.,single,university.degree,no,yes,cellular,jul,544
40,management,married,university.degree,no,yes,cellular,nov,401
42,self-employed,married,university.degree,no,no,cellular,jul,84
43,blue-collar,married,unknown,no,yes,cellular,may,128
24,student,single,high.school,unknown,no,cellular,jul,86
49,management,married,university.degree,no,no,cellular,jul,549
55,unemployed,married,basic.4y,no,yes,telephone,sep,6
49,admin.,married,high.school,no,yes,cellular,aug,183
48,blue-collar,married,basic.4y,no,no,telephone,jun,291
49,admin.,married,high.school,no,no,cellular,aug,151
40,blue-collar,married,high.school,unknown,yes,telephone,may,98
35,services,married,high.school,no,no,cellular,may,301
32,admin.,single,professional.course,no,yes,telephone,may,16
67,housemaid,divorced,professional.course,no,yes,cellular,nov,655
41,technician,married,university.degree,no,yes,cellular,may,170
73,retired,married,university.degree,no,yes,cellular,mar,179
32,management,single,basic.4y,no,no,telephone,may,73
33,management,married,university.degree,no,yes,cellular,aug,113
36,technician,married,professional.course,no,yes,telephone,may,86
40,technician,married,professional.course,no,yes,cellular,nov,180
25,blue-collar,single,basic.9y,no,yes,cellular,jul,212
60,entrepreneur,married,unknown,no,no,cellular,aug,130
45,management,married,university.degree,no,yes,cellular,jul,391
33,technician,married,university.degree,no,no,telephone,nov,91
31,admin.,married,university.degree,no,yes,cellular,aug,280
48,self-employed,married,university.degree,unknown,yes,telephone,may,750
42,services,married,university.degree,no,yes,cellular,apr,257
40,management,married,university.degree,no,no,cellular,aug,454
30,technician,married,university.degree,no,no,cellular,jun,171
41,blue-collar,married,basic.4y,unknown,no,telephone,jun,38
36,housemaid,married,basic.4y,no,unknown,cellular,aug,23
41,management,divorced,basic.6y,no,no,cellular,nov,268
60,unknown,married,university.degree,no,no,telephone,may,112
32,services,single,high.school,no,unknown,cellular,may,363
44,self-employed,single,professional.course,no,yes,cellular,may,775
25,services,married,high.school,no,yes,cellular,jul,164
30,blue-collar,married,basic.9y,no,no,cellular,jul,988
25,admin.,married,university.degree,no,yes,telephone,jun,109
31,technician,divorced,university.degree,no,yes,cellular,aug,132
44,blue-collar,married,basic.4y,no,unknown,telephone,jun,471
29,technician,single,university.degree,no,no,cellular,jul,259
47,admin.,married,university.degree,no,no,telephone,may,42
18,student,single,unknown,no,no,cellular,sep,385
25,admin.,married,high.school,no,no,telephone,may,125
29,technician,married,professional.course,no,no,telephone,may,886
53,unknown,married,unknown,unknown,no,cellular,aug,51
36,self-employed,married,basic.9y,unknown,no,cellular,aug,406
45,blue-collar,single,basic.9y,no,no,telephone,jun,185
31,technician,single,university.degree,no,no,telephone,oct,154
54,admin.,married,unknown,unknown,no,telephone,jun,34
51,blue-collar,married,basic.4y,unknown,yes,telephone,jun,334
44,entrepreneur,married,basic.4y,no,yes,cellular,may,955
24,blue-collar,single,basic.9y,no,yes,cellular,jul,545
40,admin.,married,university.degree,no,yes,cellular,aug,124
39,services,married,basic.4y,no,no,telephone,may,126
44,blue-collar,married,basic.4y,unknown,no,cellular,may,659
44,management,divorced,university.degree,no,yes,cellular,apr,230
52,entrepreneur,married,basic.9y,unknown,yes,telephone,jun,699
51,blue-collar,married,high.school,no,yes,cellular,may,809
38,management,married,university.degree,no,yes,cellular,may,1276
34,technician,married,professional.course,no,no,cellular,may,83
23,blue-collar,single,high.school,no,no,cellular,jul,251
30,admin.,single,university.degree,no,no,telephone,may,25
26,blue-collar,married,basic.6y,no,no,telephone,may,389
24,unknown,single,university.degree,no,yes,cellular,jun,696
34,admin.,married,basic.6y,no,yes,cellular,nov,102
59,unknown,married,unknown,unknown,no,telephone,jun,701
32,management,divorced,university.degree,no,no,cellular,may,342
27,self-employed,single,university.degree,no,yes,telephone,jun,161
39,housemaid,married,basic.4y,unknown,yes,cellular,aug,223
29,blue-collar,married,professional.course,no,no,telephone,may,34
42,technician,single,university.degree,no,yes,cellular,aug,275
60,management,married,unknown,unknown,no,cellular,jul,230
30,technician,single,university.degree,no,no,cellular,aug,81
38,management,married,university.degree,no,yes,cellular,may,172
49,blue-collar,married,basic.6y,no,no,cellular,aug,139
30,admin.,single,university.degree,no,yes,cellular,may,232
41,blue-collar,married,high.school,no,yes,cellular,may,239
56,blue-collar,married,basic.9y,unknown,no,telephone,jun,143
58,blue-collar,single,basic.9y,no,yes,cellular,may,127
52,blue-collar,divorced,basic.4y,no,yes,cellular,apr,291
32,admin.,married,professional.course,no,yes,cellular,jul,173
